MaxQdiagonal,MaxQcol,MaxQrow,blocked/n^2,n,class
0.7916666666666667,0.82,0.82,0.72,50,queen4
0.768,0.82,0.82,0.7204,50,queen4
0.768,0.84,0.84,0.7208,50,queen4
0.6975,0.84,0.78,0.7212,50,queen4
0.8158333333333333,0.82,0.82,0.7216,50,queen4
0.8057142857142857,0.88,0.82,0.722,50,queen4
0.8177777777777777,0.86,0.8,0.7224,50,queen4
0.7275,0.88,0.84,0.7228,50,queen4
0.7446153846153847,0.82,0.8,0.7232,50,queen4
0.7363636363636364,0.8,0.78,0.7236,50,queen4
0.74375,0.84,0.84,0.724,50,queen4
0.8177777777777777,0.84,0.92,0.7244,50,queen4
0.8177777777777777,0.82,0.86,0.7248,50,queen4
0.7416666666666667,0.82,0.82,0.7252,50,queen4
0.8026666666666666,0.82,0.84,0.7256,50,queen4
0.8123076923076923,0.82,0.86,0.726,50,queen4
0.81375,0.88,0.86,0.7264,50,queen4
0.7916666666666667,0.84,0.86,0.7268,50,queen4
0.768,0.86,0.84,0.7272,50,queen4
0.8190000000000001,0.82,0.88,0.7276,50,queen4
0.8177777777777777,0.84,0.84,0.728,50,queen4
0.8177777777777777,0.82,0.86,0.7284,50,queen4
0.8177777777777777,0.82,0.84,0.7288,50,queen4
0.7916666666666667,0.78,0.84,0.7292,50,queen4
0.768,0.84,0.8,0.7296,50,queen4
0.7155555555555556,0.82,0.86,0.73,50,queen4
0.81375,0.86,0.88,0.7304,50,queen4
0.7916666666666667,0.84,0.84,0.7308,50,queen4
0.8177777777777777,0.8,0.82,0.7312,50,queen4
0.7916666666666667,0.8,0.84,0.7316,50,queen4
0.7916666666666667,0.82,0.84,0.732,50,queen4
0.8177777777777777,0.86,0.88,0.7324,50,queen4
0.6975,0.9,0.84,0.7328,50,queen4
0.7453333333333333,0.86,0.84,0.7332,50,queen4
0.8057142857142857,0.82,0.84,0.7336,50,queen4
0.8181818181818181,0.88,0.82,0.734,50,queen4
0.768,0.82,0.8,0.7344,50,queen4
0.8177777777777777,0.84,0.88,0.7348,50,queen4
0.8190000000000001,0.82,0.86,0.7352,50,queen4
0.8177777777777777,0.84,0.82,0.7356,50,queen4
0.8057142857142857,0.86,0.86,0.736,50,queen4
0.8177777777777777,0.84,0.84,0.7364,50,queen4
0.7457142857142857,0.88,0.84,0.7368,50,queen4
0.676923076923077,0.84,0.82,0.7372,50,queen4
0.7363636363636364,0.84,0.86,0.7376,50,queen4
0.7916666666666667,0.86,0.94,0.738,50,queen4
0.7457142857142857,0.88,0.9,0.7384,50,queen4
0.768,0.82,0.84,0.7388,50,queen4
0.7916666666666667,0.84,0.84,0.7392,50,queen4
0.7155555555555556,0.86,0.86,0.7396,50,queen4
0.81375,0.84,0.84,0.74,50,queen4
0.7275,0.82,0.86,0.7404,50,queen4
0.8078571428571429,0.82,0.86,0.7408,50,queen4
0.768,0.82,0.9,0.7412,50,queen4
0.81375,0.82,0.86,0.7416,50,queen4
0.7416666666666667,0.84,0.82,0.742,50,queen4
0.8177777777777777,0.84,0.86,0.7424,50,queen4
0.7446153846153847,0.84,0.96,0.7428,50,queen4
0.7275,0.86,0.84,0.7432,50,queen4
0.7363636363636364,0.9,0.82,0.7436,50,queen4
0.7916666666666667,0.86,0.86,0.744,50,queen4
0.8158333333333333,0.86,0.86,0.7444,50,queen4
0.7275,0.86,0.84,0.7448,50,queen4
0.7916666666666667,0.86,0.86,0.7452,50,queen4
0.768,0.88,0.82,0.7456,50,queen4
0.7838888888888889,0.86,0.86,0.746,50,queen4
0.81375,0.88,0.84,0.7464,50,queen4
