time4sub,time11sub,solution?,n,time4,time11,correct winner,SAT?,blocked/n^2
0.0894531965,0.2190285921,1,70,0.1353797913,2.741635561,queen4,SAT,0.7551020408
0.0994633436,0.2706907511,1,70,0.1506533623,3.4808206558,queen4,SAT,0.7553061224
0.0891865015,0.2687749147,1,70,0.1572659016,2.257992506,queen4,SAT,0.7555102041
0.0838003933,0.2704412818,1,70,0.1829090118,3.3688080311,queen4,SAT,0.7557142857
0.0824096584,0.2701527834,1,70,0.1594026089,3.975954771,queen4,SAT,0.7559183673
0.0785853902,0.2674925804,1,70,0.1969389915,2.5438382626,queen4,SAT,0.756122449
0.0787227222,0.2694038119,1,70,0.1776344776,2.7151758671,queen4,SAT,0.7563265306
0.0783055395,0.2650536299,1,70,0.2575910091,3.4799921513,queen4,SAT,0.7565306122
0.0766109016,0.2635013898,1,70,0.146241188,2.729640007,queen4,SAT,0.7567346939
0.0775910759,0.2627310777,0.9,70,0.1570763588,3.0946090221,queen4,SAT,0.7569387755
0.0797262235,0.2615257111,1,70,0.2131905556,3.007276535,queen4,SAT,0.7571428571
0.0792509476,0.2610666911,1,70,0.2970151901,2.4036483765,queen4,SAT,0.7573469388
0.078798936,0.26073562,1,70,0.1372435093,2.5296852589,queen4,SAT,0.7575510204
0.0770529015,0.2595369356,1,70,0.2932655811,2.6924791336,queen4,SAT,0.757755102
0.0766168245,0.2588801289,1,70,0.1641244888,2.7267827988,queen4,SAT,0.7579591837
0.0761034161,0.2597487614,1,70,0.1387546062,4.1234464645,queen4,SAT,0.7581632653
0.076855588,0.2598361184,1,70,0.2623465061,4.6763734818,queen4,SAT,0.7583673469
0.0773924695,0.2607812444,1,70,0.4788763523,4.1715118885,queen4,SAT,0.7585714286
0.0810290111,0.2740015331,1,70,0.3689055443,4.4116499424,queen4,SAT,0.7587755102
0.0819407749,0.2790226603,1,70,0.4284377098,3.5400383472,queen4,SAT,0.7589795918
0.0822346858,0.2774330923,1,70,0.1518390179,2.5751004219,queen4,SAT,0.7591836735
0.0835247495,0.2779686874,1,70,0.3130381107,2.6289947033,queen4,SAT,0.7593877551
0.0835204757,0.278473258,1,70,0.2394559383,2.398455143,queen4,SAT,0.7595918367
0.0855993648,0.2771478196,1,70,0.2538032532,3.3954470158,queen4,SAT,0.7597959184
0.0851679401,0.2784442005,1,70,0.1324958801,2.328110218,queen4,SAT,0.76
0.084488589,0.2764763126,1,70,0.1422300339,2.2646598816,queen4,SAT,0.7602040816
0.0841461817,0.2757567097,1,70,0.1252417564,3.6652367115,queen4,SAT,0.7604081633
0.0834369506,0.2750893763,1,70,0.1607363224,3.1068384647,queen4,SAT,0.7606122449
0.0833676667,0.2738957816,1,70,0.1565561295,2.4506464005,queen4,SAT,0.7608163265
0.0832159336,0.2723979751,1,70,0.3708195686,3.1261804104,queen4,SAT,0.7610204082
0.0845603551,0.2747316161,1,70,0.1226894855,5.3904771805,queen4,SAT,0.7612244898
0.0849181697,0.2745374568,1,70,0.1160292625,3.1488938332,queen4,SAT,0.7614285714
